"X","year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","employment_rate","salary_range","remotegroup"
0,2020,"MI","FT","Data Scientist",70000,"EUR",79833,"DE",0,"DE","L",74.3583375,70000,"In Person"
1,2020,"SE","FT","Machine Learning Scientist",260000,"USD",260000,"JP",0,"JP","S",77.4528975,260000,"In Person"
2,2020,"SE","FT","Big Data Engineer",85000,"GBP",109024,"GB",50,"GB","M",75.3848425,1e+05,"Hybrid"
4,2020,"SE","FT","Machine Learning Engineer",150000,"USD",150000,"US",50,"US","L",67.007885,150000,"Hybrid"
5,2020,"EN","FT","Data Analyst",72000,"USD",72000,"US",100,"US","L",67.007885,70000,"Remote"
6,2020,"SE","FT","Lead Data Scientist",190000,"USD",190000,"US",100,"US","S",67.007885,190000,"Remote"
8,2020,"MI","FT","Business Data Analyst",135000,"USD",135000,"US",100,"US","L",67.007885,130000,"Remote"
10,2020,"EN","FT","Data Scientist",45000,"EUR",51321,"FR",0,"FR","S",66.1150875,50000,"In Person"
12,2020,"EN","FT","Data Scientist",35000,"EUR",39916,"FR",0,"FR","M",66.1150875,30000,"In Person"
13,2020,"MI","FT","Lead Data Analyst",87000,"USD",87000,"US",100,"US","L",67.007885,80000,"Remote"
14,2020,"MI","FT","Data Analyst",85000,"USD",85000,"US",100,"US","L",67.007885,80000,"Remote"
16,2020,"EN","FT","Data Engineer",4450000,"JPY",41689,"JP",100,"JP","S",77.4528975,40000,"Remote"
17,2020,"SE","FT","Big Data Engineer",100000,"EUR",114047,"PL",100,"GB","S",75.3848425,110000,"Remote"
19,2020,"MI","FT","Lead Data Engineer",56000,"USD",56000,"PT",100,"US","M",67.007885,50000,"Remote"
23,2020,"MI","FT","BI Data Analyst",98000,"USD",98000,"US",0,"US","M",67.007885,90000,"In Person"
25,2020,"EX","FT","Director of Data Science",325000,"USD",325000,"US",100,"US","L",67.007885,320000,"Remote"
28,2020,"EN","CT","Business Data Analyst",100000,"USD",100000,"US",100,"US","L",67.007885,1e+05,"Remote"
29,2020,"SE","FT","Machine Learning Manager",157000,"CAD",117104,"CA",50,"CA","L",70.108335,110000,"Hybrid"
30,2020,"MI","FT","Data Engineering Manager",51999,"EUR",59303,"DE",100,"DE","S",74.3583375,50000,"Remote"
31,2020,"EN","FT","Big Data Engineer",70000,"USD",70000,"US",100,"US","L",67.007885,70000,"Remote"
32,2020,"SE","FT","Data Scientist",60000,"EUR",68428,"GR",100,"US","L",67.007885,60000,"Remote"
33,2020,"MI","FT","Research Scientist",450000,"USD",450000,"US",0,"US","M",67.007885,450000,"In Person"
34,2020,"MI","FT","Data Analyst",41000,"EUR",46759,"FR",50,"FR","L",66.1150875,40000,"Hybrid"
36,2020,"MI","FT","Data Science Consultant",103000,"USD",103000,"US",100,"US","L",67.007885,1e+05,"Remote"
37,2020,"EN","FT","Machine Learning Engineer",250000,"USD",250000,"US",50,"US","L",67.007885,250000,"Hybrid"
39,2020,"EN","FT","Machine Learning Engineer",138000,"USD",138000,"US",100,"US","S",67.007885,130000,"Remote"
40,2020,"MI","FT","Data Scientist",45760,"USD",45760,"PH",100,"US","S",67.007885,40000,"Remote"
43,2020,"MI","FT","Data Engineer",106000,"USD",106000,"US",100,"US","L",67.007885,1e+05,"Remote"
44,2020,"MI","FT","Data Engineer",88000,"GBP",112872,"GB",50,"GB","L",75.3848425,110000,"Hybrid"
45,2020,"EN","PT","ML Engineer",14000,"EUR",15966,"DE",100,"DE","S",74.3583375,10000,"Remote"
46,2020,"MI","FT","Data Scientist",60000,"GBP",76958,"GB",100,"GB","S",75.3848425,70000,"Remote"
47,2020,"SE","FT","Data Engineer",188000,"USD",188000,"US",100,"US","L",67.007885,180000,"Remote"
48,2020,"MI","FT","Data Scientist",105000,"USD",105000,"US",100,"US","L",67.007885,1e+05,"Remote"
49,2020,"MI","FT","Data Engineer",61500,"EUR",70139,"FR",50,"FR","L",66.1150875,70000,"Hybrid"
51,2020,"EN","FT","Data Analyst",91000,"USD",91000,"US",100,"US","L",67.007885,90000,"Remote"
53,2020,"EN","FT","Data Engineer",48000,"EUR",54742,"PK",100,"DE","L",74.3583375,50000,"Remote"
54,2020,"SE","FL","Computer Vision Engineer",60000,"USD",60000,"RU",100,"US","S",67.007885,60000,"Remote"
55,2020,"SE","FT","Principal Data Scientist",130000,"EUR",148261,"DE",100,"DE","M",74.3583375,140000,"Remote"
57,2020,"MI","FT","Data Scientist",118000,"USD",118000,"US",100,"US","M",67.007885,110000,"Remote"
58,2020,"SE","FT","Data Scientist",120000,"USD",120000,"US",50,"US","L",67.007885,120000,"Hybrid"
59,2020,"MI","FT","Data Scientist",138350,"USD",138350,"US",100,"US","M",67.007885,130000,"Remote"
60,2020,"MI","FT","Data Engineer",110000,"USD",110000,"US",100,"US","L",67.007885,110000,"Remote"
61,2020,"MI","FT","Data Engineer",130800,"USD",130800,"ES",100,"US","M",67.007885,130000,"Remote"
63,2020,"SE","FT","Data Scientist",412000,"USD",412000,"US",100,"US","L",67.007885,410000,"Remote"
65,2020,"EN","FT","Data Scientist",55000,"EUR",62726,"DE",50,"DE","S",74.3583375,60000,"Hybrid"
66,2020,"EN","FT","Data Scientist",43200,"EUR",49268,"DE",0,"DE","S",74.3583375,40000,"In Person"
67,2020,"SE","FT","Data Science Manager",190200,"USD",190200,"US",100,"US","M",67.007885,190000,"Remote"
68,2020,"EN","FT","Data Scientist",105000,"USD",105000,"US",100,"US","S",67.007885,1e+05,"Remote"
71,2020,"MI","FT","Data Scientist",37000,"EUR",42197,"FR",50,"FR","S",66.1150875,40000,"Hybrid"
72,2021,"EN","FT","Research Scientist",60000,"GBP",82528,"GB",50,"GB","L",75.123565,80000,"Hybrid"
73,2021,"EX","FT","BI Data Analyst",150000,"USD",150000,"IN",100,"US","L",69.4023875,150000,"Remote"
74,2021,"EX","FT","Head of Data",235000,"USD",235000,"US",100,"US","L",69.4023875,230000,"Remote"
75,2021,"SE","FT","Data Scientist",45000,"EUR",53192,"FR",50,"FR","L",67.245315,50000,"Hybrid"
76,2021,"MI","FT","BI Data Analyst",100000,"USD",100000,"US",100,"US","M",69.4023875,1e+05,"Remote"
78,2021,"MI","CT","ML Engineer",270000,"USD",270000,"US",100,"US","L",69.4023875,270000,"Remote"
79,2021,"EN","FT","Data Analyst",80000,"USD",80000,"US",100,"US","M",69.4023875,80000,"Remote"
80,2021,"SE","FT","Data Analytics Engineer",67000,"EUR",79197,"DE",100,"DE","L",75.5858925,70000,"Remote"
81,2021,"MI","FT","Data Engineer",140000,"USD",140000,"US",100,"US","L",69.4023875,140000,"Remote"
82,2021,"MI","FT","Applied Data Scientist",68000,"CAD",54238,"GB",50,"CA","L",73.50833,50000,"Hybrid"
86,2021,"EN","FT","Data Analyst",50000,"EUR",59102,"FR",50,"FR","M",67.245315,50000,"Hybrid"
87,2021,"MI","FT","Data Analytics Engineer",110000,"USD",110000,"US",100,"US","L",69.4023875,110000,"Remote"
88,2021,"SE","FT","Lead Data Analyst",170000,"USD",170000,"US",100,"US","L",69.4023875,170000,"Remote"
89,2021,"SE","FT","Data Analyst",80000,"USD",80000,"BG",100,"US","S",69.4023875,80000,"Remote"
91,2021,"EN","FT","Data Science Consultant",65000,"EUR",76833,"DE",100,"DE","S",75.5858925,70000,"Remote"
93,2021,"SE","FT","Lead Data Engineer",276000,"USD",276000,"US",0,"US","L",69.4023875,270000,"In Person"
96,2021,"EN","PT","AI Scientist",12000,"USD",12000,"BR",100,"US","S",69.4023875,10000,"Remote"
97,2021,"MI","FT","Financial Data Analyst",450000,"USD",450000,"US",100,"US","L",69.4023875,450000,"Remote"
98,2021,"EN","FT","Computer Vision Software Engineer",70000,"USD",70000,"US",100,"US","M",69.4023875,70000,"Remote"
99,2021,"MI","FT","Computer Vision Software Engineer",81000,"EUR",95746,"DE",100,"US","S",69.4023875,90000,"Remote"
100,2021,"MI","FT","Data Analyst",75000,"USD",75000,"US",0,"US","L",69.4023875,70000,"In Person"
101,2021,"SE","FT","Data Engineer",150000,"USD",150000,"US",100,"US","L",69.4023875,150000,"Remote"
102,2021,"MI","FT","BI Data Analyst",11000000,"HUF",36259,"HU",50,"US","L",69.4023875,30000,"Hybrid"
103,2021,"MI","FT","Data Analyst",62000,"USD",62000,"US",0,"US","L",69.4023875,60000,"In Person"
104,2021,"MI","FT","Data Scientist",73000,"USD",73000,"US",0,"US","L",69.4023875,70000,"In Person"
105,2021,"MI","FT","Data Analyst",37456,"GBP",51519,"GB",50,"GB","L",75.123565,50000,"Hybrid"
106,2021,"MI","FT","Research Scientist",235000,"CAD",187442,"CA",100,"CA","L",73.50833,180000,"Remote"
107,2021,"SE","FT","Data Engineer",115000,"USD",115000,"US",100,"US","S",69.4023875,110000,"Remote"
108,2021,"SE","FT","Data Engineer",150000,"USD",150000,"US",100,"US","M",69.4023875,150000,"Remote"
110,2021,"SE","FT","Machine Learning Engineer",80000,"EUR",94564,"DE",50,"DE","L",75.5858925,90000,"Hybrid"
111,2021,"SE","FT","Director of Data Engineering",82500,"GBP",113476,"GB",100,"GB","M",75.123565,110000,"Remote"
