"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q1",74.07187,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.17379,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q3",74.45346,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q4",74.40693,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q1",74.50998,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q2",70.47916,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q3",72.06725,
"AUS","EMP","TOT","PC_WKGPOP","Q","2020-Q4",73.55392,
"AUS","EMP","TOT","PC_WKGPOP","Q","2021-Q1",74.34303,
"AUS","EMP","TOT","PC_WKGPOP","Q","2021-Q2",75.12772,
"AUS","EMP","TOT","PC_WKGPOP","Q","2021-Q3",74.81723,
"AUS","EMP","TOT","PC_WKGPOP","Q","2021-Q4",75.32984,
"AUS","EMP","TOT","PC_WKGPOP","Q","2022-Q1",76.69863,
"AUS","EMP","TOT","PC_WKGPOP","Q","2022-Q2",77.12612,
"AUS","EMP","TOT","PC_WKGPOP","Q","2022-Q3",77.52378,
"AUS","EMP","TOT","PC_WKGPOP","Q","2022-Q4",77.56084,
"AUS","EMP","TOT","PC_WKGPOP","Q","2023-Q1",77.47097,
"AUS","EMP","TOT","PC_WKGPOP","Q","2023-Q2",77.51244,
"AUS","EMP","TOT","PC_WKGPOP","Q","2023-Q3",77.56822,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q1",73.42854,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q2",73.70921,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q3",73.38256,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q4",73.68296,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q1",73.19289,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q2",70.19971,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q3",71.82483,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q4",71.69104,
"AUT","EMP","TOT","PC_WKGPOP","Q","2021-Q1",71.2905,
"AUT","EMP","TOT","PC_WKGPOP","Q","2021-Q2",71.8619,
"AUT","EMP","TOT","PC_WKGPOP","Q","2021-Q3",73.04892,
"AUT","EMP","TOT","PC_WKGPOP","Q","2021-Q4",73.40121,
"AUT","EMP","TOT","PC_WKGPOP","Q","2022-Q1",73.94791,
"AUT","EMP","TOT","PC_WKGPOP","Q","2022-Q2",74.37878,
"AUT","EMP","TOT","PC_WKGPOP","Q","2022-Q3",73.80271,
"AUT","EMP","TOT","PC_WKGPOP","Q","2022-Q4",73.93375,
"AUT","EMP","TOT","PC_WKGPOP","Q","2023-Q1",73.93195,
"AUT","EMP","TOT","PC_WKGPOP","Q","2023-Q2",74.39931,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q1",64.68071,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",65.73598,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",65.64047,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q4",65.10603,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q1",65.19974,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q2",64.01067,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q3",64.51317,
"BEL","EMP","TOT","PC_WKGPOP","Q","2020-Q4",64.01466,
"BEL","EMP","TOT","PC_WKGPOP","Q","2021-Q1",63.67085,
"BEL","EMP","TOT","PC_WKGPOP","Q","2021-Q2",65.1045,
